City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lorengau,-2.02,147.27,86.27,63,19,3.6,PG,1592803630
Aklavik,68.22,-135.01,57.2,71,75,3.36,CA,1592804069
Chui,-33.7,-53.46,57.76,96,91,3.4,UY,1592803625
Ketchikan,55.34,-131.65,55.4,76,20,5.82,US,1592803985
Butaritari,3.07,172.79,83.39,75,60,12.53,KI,1592803620
Kapaa,22.08,-159.32,77.0,83,90,5.82,US,1592803620
Kavieng,-2.57,150.8,84.72,71,11,5.7,PG,1592804069
Szentistván,47.77,20.67,68.61,83,92,7.07,HU,1592804069
Atuona,-9.8,-139.03,80.28,76,29,14.12,PF,1592803622
New Norfolk,-42.78,147.06,54.0,92,100,1.01,AU,1592803622
Forsytheganj,52.63,29.73,66.78,91,88,9.6,BY,1592804070
Hobart,-42.88,147.33,54.0,93,75,18.34,AU,1592803591
Busselton,-33.65,115.33,66.0,34,98,23.98,AU,1592803620
Saint-Philippe,-21.36,55.77,75.99,57,32,3.36,RE,1592803620
Vostok,46.49,135.88,57.29,91,97,2.68,RU,1592804070
Lillooet,50.69,-121.94,66.2,48,1,10.29,CA,1592804070
Tasiilaq,65.61,-37.64,48.2,70,90,2.24,GL,1592803625
Torbay,47.67,-52.73,48.0,65,75,18.34,CA,1592803629
George Town,5.41,100.34,87.8,74,20,8.05,MY,1592803629
Dwārka,22.24,68.97,83.28,76,100,1.28,IN,1592804071
Yellowknife,62.46,-114.35,72.0,49,20,10.29,CA,1592803628
Padang,-0.95,100.35,82.6,78,75,9.08,ID,1592804071
Koygorodok,60.45,51.0,54.63,52,76,8.75,RU,1592804071
Hualmay,-11.1,-77.61,61.02,87,88,6.11,PE,1592804071
Abaza,52.66,90.09,48.31,91,100,3.51,RU,1592804071
Maragogi,-9.01,-35.22,75.07,73,0,10.85,BR,1592803981
Qasigiannguit,68.82,-51.19,41.0,75,59,1.12,GL,1592803631
Ponta do Sol,32.67,-17.1,69.8,64,40,14.99,PT,1592803629
Puerto Baquerizo Moreno,-0.9,-89.6,68.43,93,27,10.92,EC,1592804072
Ouésso,1.61,16.05,72.88,82,68,2.44,CG,1592804072
Dikson,73.51,80.55,43.48,81,99,16.67,RU,1592803619
Hofn,64.25,-15.21,49.41,94,100,10.49,IS,1592804072
Road Town,18.42,-64.62,82.99,87,43,18.01,VG,1592803955
Nikolskoye,59.7,30.79,63.0,59,0,6.71,RU,1592803624
Urucará,-2.54,-57.76,74.91,88,53,1.74,BR,1592803822
Kerchevskiy,59.95,56.29,50.2,58,64,8.21,RU,1592804073
Östersund,63.18,14.64,60.8,72,43,8.05,SE,1592803879
Chapais,49.78,-74.85,68.0,77,90,9.17,CA,1592803629
Nimaima,5.13,-74.39,53.6,93,75,3.36,CO,1592804073
Dukat,62.55,155.55,74.16,32,62,6.08,RU,1592804073
Tahe,52.33,124.73,60.94,64,91,6.51,CN,1592804073
Ribeira Grande,38.52,-28.7,66.24,88,7,17.56,PT,1592803627
Hvolsvollur,63.75,-20.22,51.01,91,100,5.01,IS,1592804073
Norman Wells,65.28,-126.83,53.6,93,90,10.29,CA,1592803631
Peniche,39.36,-9.38,64.0,93,6,10.0,PT,1592804074
Ljungby,56.83,13.94,59.0,93,100,4.7,SE,1592804074
Kjøllefjord,70.95,27.35,42.8,93,75,17.22,NO,1592804074
Barrow,71.29,-156.79,35.6,93,90,11.41,US,1592803619
Hilo,19.73,-155.09,78.8,61,90,3.36,US,1592803552
Sibu,2.3,111.82,87.8,66,40,3.36,MY,1592803802
Béziers,43.35,3.22,71.6,56,0,11.41,FR,1592804074
Dakar,14.69,-17.44,80.6,78,8,11.41,SN,1592803805
Eston,51.15,-108.75,55.4,71,75,8.05,CA,1592804074
Amga,60.9,131.96,67.48,39,99,8.7,RU,1592804075
Bluff,-46.6,168.33,39.0,83,9,3.0,NZ,1592803622
Te Anau,-45.42,167.72,43.11,80,0,1.45,NZ,1592803631
Upernavik,72.79,-56.15,39.54,71,82,7.87,GL,1592803620
Kumul,42.8,93.45,81.86,20,3,3.6,CN,1592804075
Lagoa,39.05,-27.98,65.91,87,0,21.97,PT,1592803669
Cape Coast,5.11,-1.25,76.28,88,97,8.9,GH,1592804075
Pontalina,-17.52,-49.45,58.82,67,0,6.29,BR,1592804075
Shingū,33.73,135.98,78.8,65,20,11.41,JP,1592803642
Port Alfred,-33.59,26.89,57.0,90,18,5.66,ZA,1592803625
Khanbari,27.37,87.2,86.14,55,71,4.81,NP,1592803840
Riyadh,24.69,46.72,89.6,17,5,13.87,SA,1592803643
Marsh Harbour,26.54,-77.06,81.1,82,85,8.88,BS,1592804076
Brownsville,25.9,-97.5,82.4,83,40,10.29,US,1592804048
Tiksi,71.69,128.87,40.42,82,84,9.1,RU,1592803619
Kochki,54.34,80.48,71.47,50,13,14.76,RU,1592804076
Merke,42.87,73.18,89.58,18,94,4.74,KZ,1592804076
Hasaki,35.73,140.83,68.0,100,75,19.46,JP,1592803624
Ambilobe,-13.2,49.05,82.09,61,41,6.08,MG,1592804077
Juneau,58.3,-134.42,53.01,87,90,9.17,US,1592803892
Saskylakh,71.92,114.08,73.11,43,72,8.55,RU,1592803638
San Patricio,19.22,-104.7,80.8,70,18,2.77,MX,1592803668
Hamilton,39.18,-84.53,71.01,94,90,3.49,US,1592803819
Severo-Kuril'sk,50.68,156.12,49.64,78,96,7.14,RU,1592803630
Faanui,-16.48,-151.75,77.4,81,70,24.36,PF,1592803620
Caravelas,-17.71,-39.25,66.72,78,0,0.98,BR,1592803664
Gizo Government Station,-8.1,156.84,84.2,73,7,6.85,SB,1592803632
Vila,42.03,-8.16,57.99,93,14,1.01,PT,1592804077
Inuvik,68.35,-133.72,57.2,71,75,3.36,CA,1592803633
Khasan,42.43,130.64,68.45,83,79,8.57,RU,1592804078
Bethel,41.37,-73.41,69.01,82,1,3.44,US,1592803451
Turukhansk,65.82,87.98,67.35,39,58,15.88,RU,1592804078
Northam,51.03,-4.22,54.0,93,36,5.99,GB,1592804078
Arraial do Cabo,-22.97,-42.03,72.52,83,0,7.67,BR,1592803621
Yongchang,30.04,119.73,84.0,75,99,3.8,CN,1592804078
Sibolga,1.74,98.78,84.76,62,100,5.79,ID,1592804066
Ocean Springs,30.41,-88.83,82.4,78,20,10.29,US,1592803978
Olinda,-8.01,-34.86,78.8,69,40,12.75,BR,1592804079
Soure,-0.72,-48.52,78.37,85,83,11.48,BR,1592804079
Khatanga,71.97,102.5,70.02,44,93,4.47,RU,1592803624
Porto Nacional,-10.71,-48.42,71.6,53,0,6.93,BR,1592804079
Erenhot,43.65,111.98,69.01,57,100,17.81,CN,1592804079
Vaini,-21.2,-175.2,78.8,94,40,3.36,TO,1592803625
Pahrump,36.21,-115.98,82.99,13,0,4.0,US,1592804079
Vila Franca do Campo,37.72,-25.43,64.4,93,40,8.05,PT,1592803639
Bambous Virieux,-20.34,57.76,73.99,73,40,11.41,MU,1592803620
Mauá,-23.67,-46.46,66.0,68,1,3.36,BR,1592804080
Buchanan,5.88,-10.05,76.37,89,100,7.0,LR,1592804080
Korla,41.76,86.15,82.58,17,0,2.48,CN,1592803644
Paraná,-31.73,-60.52,52.0,86,44,1.99,AR,1592804080
Bredasdorp,-34.53,20.04,48.2,100,81,4.38,ZA,1592803621
Touros,-5.2,-35.46,73.4,88,10,5.82,BR,1592803624
Waynesboro,38.07,-78.89,69.01,100,1,3.36,US,1592804080
Sendhwa,21.68,75.1,89.56,54,74,13.35,IN,1592804080
Darnah,32.77,22.64,72.32,72,1,14.52,LY,1592804080
Neiafu,-18.65,-173.98,78.8,88,75,9.17,TO,1592804081
Morondava,-20.28,44.28,73.98,70,2,5.82,MG,1592804081
Banihāl,33.42,75.2,81.27,35,0,4.32,IN,1592804081
Lebu,-37.62,-73.65,51.78,87,99,27.78,CL,1592803630
Tārānagar,28.67,75.04,105.93,21,7,11.56,IN,1592804081
Gombong,-7.61,109.51,82.6,80,89,11.88,ID,1592804081
Krasnyy Chikoy,50.36,108.75,57.11,88,100,4.38,RU,1592804081
Mahébourg,-20.41,57.7,73.4,73,40,11.41,MU,1592803627
Albany,42.6,-73.97,75.99,94,26,2.59,US,1592803500
Xining,36.62,101.77,70.2,44,80,6.42,CN,1592804082
Rio Verde de Mato Grosso,-18.92,-54.84,67.3,57,62,4.85,BR,1592804082
Bonavista,48.65,-53.11,48.09,72,96,13.85,CA,1592803641
Aragarças,-15.9,-52.25,65.32,66,0,1.19,BR,1592804082
Wuwei,37.93,102.64,76.64,30,30,5.44,CN,1592804082
Sitka,57.05,-135.33,51.8,81,90,1.41,US,1592803630
Avarua,-21.21,-159.78,71.6,78,74,10.29,CK,1592803329
Kaeo,-35.1,173.78,61.0,3,56,5.01,NZ,1592804082
Alad,12.62,122.25,84.07,75,97,7.83,PH,1592804082
Lázaro Cárdenas,17.96,-102.2,81.43,72,70,1.79,MX,1592804083
La Ronge,55.1,-105.28,50.0,81,5,4.38,CA,1592803622
Pangnirtung,66.15,-65.71,46.33,62,97,1.9,CA,1592803682
Provideniya,64.38,-173.3,57.2,58,9,6.71,RU,1592803633
Assiniboia,49.63,-105.98,48.02,74,91,4.16,CA,1592804083
Airai,-8.93,125.41,71.04,65,36,4.27,TL,1592803631
Ayr,55.46,-4.63,48.2,93,68,5.82,GB,1592803806
Salalah,17.02,54.09,86.0,74,75,3.36,OM,1592803629
Ucluelet,48.93,-125.55,55.0,84,70,5.48,CA,1592804020
Lata,40.16,-8.33,63.0,99,12,2.98,PT,1592803632
Majdanpek,44.43,21.95,62.01,92,100,1.99,RS,1592804084
Frontera,26.93,-101.45,88.0,43,72,5.99,MX,1592804084
Sanchazi,42.08,126.6,83.89,40,53,7.45,CN,1592804084
Nuuk,64.18,-51.72,39.2,86,17,5.82,GL,1592804084
Nkhotakota,-12.93,34.3,67.98,63,0,11.68,MW,1592804084
Cabo San Lucas,22.89,-109.91,79.0,60,4,1.01,MX,1592803641
Kānt,27.8,79.8,100.74,30,1,9.66,IN,1592804084
Torata,-17.08,-70.84,51.98,42,2,1.57,PE,1592804084
Mehamn,71.04,27.85,42.8,87,75,8.05,NO,1592803641
Egvekinot,66.32,-179.17,61.7,46,11,5.59,RU,1592803836
Muros,42.78,-9.06,57.0,96,18,6.08,ES,1592804085
Dingle,11.0,122.67,89.82,62,76,6.62,PH,1592803627
Sisimiut,66.94,-53.67,44.26,67,42,5.75,GL,1592804085
‘Āhuimanu,21.44,-157.84,87.8,48,90,6.93,US,1592804085
Lavrentiya,65.58,-171.0,55.45,53,0,5.14,RU,1592803627
Damietta,31.42,31.81,76.42,65,1,8.95,EG,1592804085
Ancud,-41.87,-73.82,46.99,93,90,18.34,CL,1592803664
Akureyri,65.68,-18.09,53.6,81,75,13.87,IS,1592804085
Port Lincoln,-34.73,135.87,57.43,64,17,19.1,AU,1592803635
College,64.86,-147.8,53.6,81,90,8.05,US,1592804086
Iqaluit,63.75,-68.51,39.2,75,90,5.17,CA,1592803639
Rafai,4.95,23.92,72.79,87,25,3.2,CF,1592804086
Tuatapere,-46.13,167.68,39.0,83,3,3.0,NZ,1592803631
Hermanus,-34.42,19.23,48.0,94,77,6.04,ZA,1592803619
Broome,42.25,-75.83,69.8,73,1,8.05,US,1592803631
Turek,52.02,18.5,64.99,92,100,5.99,PL,1592804086
Lubango,-14.92,13.49,48.88,50,0,4.56,AO,1592804086
Tigil',57.8,158.67,69.04,46,59,13.29,RU,1592803807
Kampot,10.62,104.18,89.6,75,20,6.93,KH,1592804087
Ngunguru,-35.62,174.5,61.0,85,60,8.99,NZ,1592804087
Souillac,-20.52,57.52,73.4,73,40,11.41,MU,1592803624
Comodoro Rivadavia,-45.87,-67.5,50.0,46,54,16.11,AR,1592803992
Oktyabr'skiy,54.48,53.47,56.16,60,1,10.58,RU,1592803947
Sorokino,53.75,84.92,64.51,58,81,6.35,RU,1592804087
Adana Province,36.98,35.29,78.8,78,0,4.7,TR,1592803920
Vicuña,-30.03,-70.71,50.0,62,93,1.7,CL,1592804087
Longyearbyen,78.22,15.64,46.4,61,0,6.93,SJ,1592803621
Alyangula,-13.85,136.42,80.6,54,1,9.17,AU,1592804088
Monte Escobedo,22.3,-103.58,63.07,76,71,4.09,MX,1592804088
Tondano,1.3,124.91,77.0,94,40,2.24,ID,1592804088
Sīrjān,29.45,55.68,90.25,11,0,8.93,IR,1592804088
Esperance,-33.87,121.9,59.0,44,0,20.8,AU,1592803623
Deqing,30.54,119.96,84.0,75,100,3.53,CN,1592804088
Shetpe,44.17,52.12,88.92,16,60,11.43,KZ,1592804088
Prince Rupert,54.32,-130.32,53.6,76,90,3.36,CA,1592804088
Northview,43.05,-85.6,64.4,72,1,3.4,US,1592804088
Belmonte,-15.86,-38.88,68.0,88,75,5.82,BR,1592803680
Shimoda,34.67,138.95,66.2,100,75,32.21,JP,1592803678
Los Llanos de Aridane,28.66,-17.92,69.8,73,3,12.75,ES,1592803476
Naples,40.83,14.25,68.0,77,75,2.24,IT,1592804089
Coquimbo,-29.95,-71.34,51.8,100,99,1.12,CL,1592803641
Athens,37.98,23.72,78.01,57,20,3.06,GR,1592804029
Bitung,1.45,125.18,77.0,94,40,2.24,ID,1592804089
Touba,8.28,-7.68,71.44,90,68,5.08,CI,1592804089
Samarai,-10.62,150.67,80.49,83,57,10.87,PG,1592804089
Zheleznogorsk-Ilimskiy,56.58,104.12,78.93,34,25,9.15,RU,1592804089
Tema,5.67,-0.02,75.2,100,75,6.93,GH,1592804090
Chokurdakh,70.63,147.92,69.28,41,81,16.67,RU,1592803631
Ilulissat,69.22,-51.1,41.0,75,49,1.12,GL,1592803623
Yulara,-25.24,130.99,62.6,33,0,11.41,AU,1592803644
Mossamedes,-15.2,12.15,68.13,55,0,3.76,AO,1592803619
Borovoy,55.43,86.08,66.2,42,68,8.95,RU,1592804090
Cooma,-36.23,149.13,46.4,52,75,13.87,AU,1592804090
Haukipudas,65.18,25.35,68.0,52,15,6.93,FI,1592804090
Ban Chang,12.73,101.06,86.0,74,20,6.93,TH,1592804090
Geraldton,-28.77,114.6,78.8,22,50,21.92,AU,1592803636
Yamada,39.47,141.95,70.56,70,100,10.74,JP,1592804091
Robertson,36.52,-86.87,69.8,100,40,4.7,US,1592804091
Thohoyandou,-22.95,30.48,56.93,44,0,3.15,ZA,1592804091
Yatou,37.15,122.38,80.65,49,24,10.36,CN,1592804091
Adrar,20.5,-10.07,94.01,12,0,20.83,MR,1592803673
Nouakchott,18.09,-15.98,87.8,27,12,11.41,MR,1592804091
Piaçabuçu,-10.41,-36.43,73.94,85,7,5.59,BR,1592804091
Lüderitz,-26.65,15.16,51.8,81,0,5.82,NA,1592803621
Río Gallegos,-51.62,-69.22,37.4,81,89,12.75,AR,1592804091
Stephenville,32.22,-98.2,79.0,74,1,9.17,US,1592803796
Bandarbeyla,9.49,50.81,87.69,46,25,24.11,SO,1592803506
Jahāngīrpur,28.18,77.72,82.4,88,75,3.36,IN,1592804092
Qaanaaq,77.48,-69.36,38.88,73,89,6.51,GL,1592803620
Vitim,59.45,112.56,79.79,32,24,10.07,RU,1592804092
Bellevue,47.61,-122.2,57.99,71,20,5.82,US,1592803844
Fairbanks,64.84,-147.72,52.0,93,90,9.17,US,1592803628
Linxia Chengguanzhen,35.6,103.21,66.7,56,90,2.39,CN,1592804092
Bengkulu,-3.8,102.27,84.67,67,81,7.16,ID,1592803533
Carnarvon,-24.87,113.63,82.4,51,0,16.11,AU,1592803631
Mocuba,-16.84,36.99,66.61,84,2,2.53,MZ,1592804093
Lake Ridge,38.69,-77.3,71.01,94,1,2.82,US,1592804093
Sinnamary,5.38,-52.95,77.74,86,2,7.02,GF,1592804093
Ahipara,-35.17,173.17,57.83,80,33,9.66,NZ,1592804093
Blagoyevo,63.37,47.92,59.5,43,67,6.93,RU,1592804093
Bentong,3.52,101.91,87.8,66,20,5.82,MY,1592804093
Angoche,-16.23,39.91,74.35,82,94,8.63,MZ,1592804093
Tazmalt,36.39,4.4,62.6,77,0,5.82,DZ,1592804093
Amazar,53.86,120.88,69.37,41,71,5.73,RU,1592804094
Birjand,32.87,59.22,89.6,8,40,6.6,IR,1592804094
Olafsvik,64.89,-23.71,50.81,85,99,14.36,IS,1592803635
São Filipe,14.9,-24.5,76.08,83,15,5.46,CV,1592803622
Cherskiy,68.75,161.3,68.63,42,27,18.07,RU,1592803671
La Romana,18.43,-68.97,78.53,90,20,6.35,DO,1592804094
Pangyan,5.7,125.28,91.4,55,40,6.93,PH,1592804094
Labuhan,-6.88,112.21,85.23,68,62,6.85,ID,1592804094
Clyde River,70.47,-68.59,35.6,93,1,2.24,CA,1592803634
Kaitangata,-46.28,169.85,43.0,73,0,1.99,NZ,1592803626
Vila Velha,-20.33,-40.29,66.0,93,0,7.05,BR,1592803638
Laas,46.62,10.7,55.99,81,75,10.29,IT,1592803680
Kungurtug,50.6,97.52,66.22,31,42,5.28,RU,1592804095
East London,-33.02,27.91,55.4,71,13,9.17,ZA,1592803627
Tessalit,20.2,1.01,89.76,12,29,6.11,ML,1592804095
Taoudenni,22.68,-3.98,96.19,11,20,17.78,ML,1592804095
Marystown,47.17,-55.15,45.3,86,100,6.22,CA,1592804095
Half Moon Bay,37.46,-122.43,60.8,93,90,4.7,US,1592803952
Husavik,66.04,-17.34,53.6,81,75,13.87,IS,1592803673
Orlik,52.52,99.83,65.37,45,100,14.61,RU,1592804096
Pangkalanbuun,-2.68,111.62,83.12,76,100,5.39,ID,1592804096
Tomatlán,19.93,-105.25,78.66,70,20,1.63,MX,1592804096
Saint Paul Harbor,57.79,-152.41,51.8,81,90,8.05,US,1592803626
Palmerston,-12.49,130.98,88.0,23,0,9.17,AU,1592804096
Mnogovershinnyy,53.94,139.92,48.63,74,100,5.57,RU,1592804096
Vredendal,-31.67,18.5,49.73,86,27,1.32,ZA,1592804096
Vanavara,60.34,102.28,82.09,33,59,6.26,RU,1592804096
Shkodër,42.07,19.51,68.0,60,75,2.51,AL,1592804097
West Bay,19.37,-81.42,82.99,85,47,1.99,KY,1592804097
Kenai,60.55,-151.26,57.2,66,1,11.41,US,1592804097
Medicine Hat,50.05,-110.67,60.8,72,1,3.36,CA,1592804055
Kita,13.03,-9.49,79.48,62,50,5.17,ML,1592804097
Phan Thiet,10.93,108.1,87.55,67,52,6.85,VN,1592803885
Faya,18.39,42.45,77.0,27,46,16.11,SA,1592804097
Redmond,47.67,-122.12,57.99,82,23,2.35,US,1592803919
Kvitok,56.07,98.48,73.35,54,77,6.22,RU,1592804097
Pout,14.77,-17.06,78.8,83,0,9.17,SN,1592804098
Jämsä,61.86,25.19,60.8,63,7,6.93,FI,1592804098
Katherine,-14.47,132.27,84.2,23,0,16.11,AU,1592804098
Craig,40.52,-107.55,55.4,71,1,3.36,US,1592804098
Naryan-Mar,67.67,53.09,43.23,87,100,7.83,RU,1592804098
Beringovskiy,63.05,179.32,53.29,49,4,6.89,RU,1592803628
Verkhnevilyuysk,63.45,120.32,80.06,27,5,11.63,RU,1592804098
Santa Rosa,14.31,121.11,95.0,56,20,6.93,PH,1592804098
Brae,60.4,-1.35,55.4,87,51,12.75,GB,1592804099
Kandrian,-6.22,149.55,82.2,83,79,7.58,PG,1592804099
San Angelo,31.46,-100.44,86.0,58,100,3.0,US,1592804099
Nagahama,35.38,136.27,82.0,65,75,2.24,JP,1592804099
Broken Hill,-31.95,141.43,57.2,47,90,23.04,AU,1592804099
Grand Gaube,-20.01,57.66,73.99,81,3,5.01,MU,1592803632
Marzuq,14.4,46.47,92.25,15,2,2.33,YE,1592804099
Xiuyan,40.29,123.27,82.99,48,71,10.31,CN,1592804099
Lodeynoye Pole,60.73,33.55,67.44,45,0,1.77,RU,1592804099
Isiolo,0.35,37.58,75.49,55,87,0.65,KE,1592804100
Vardø,70.37,31.11,46.4,81,40,5.82,NO,1592803625
Bilibino,68.05,166.44,81.93,30,46,14.72,RU,1592803821
Innisfail,-17.53,146.03,73.44,75,37,8.21,AU,1592804100
Bluffton,32.24,-80.86,81.0,83,1,6.93,US,1592804100
Mayor Pablo Lagerenza,-19.93,-60.77,72.72,78,85,4.83,PY,1592804100
Tetiz,20.97,-89.93,77.0,88,75,5.82,MX,1592804100
Arlit,18.74,7.39,90.09,11,7,8.57,NE,1592804100
Dunedin,-45.87,170.5,42.01,79,0,4.0,NZ,1592804101
Santiago del Estero,-27.8,-64.26,60.26,59,100,5.77,AR,1592804090
Demirci,39.05,28.66,77.0,10,0,58.0,TR,1592804101
Valparaíso,-33.04,-71.63,44.6,100,19,2.24,CL,1592804101
Mosquera,4.71,-74.23,53.6,93,75,3.36,CO,1592804101
Lazo,43.38,133.9,65.48,80,100,2.77,RU,1592804101
San Policarpo,12.18,125.51,85.64,72,34,11.07,PH,1592804101
Waipawa,-41.41,175.52,54.0,73,89,1.99,NZ,1592804102
Port Hardy,50.7,-127.42,53.6,87,90,2.24,CA,1592803443
Kutum,14.2,24.67,84.36,12,13,8.5,SD,1592804102
Trairi,-3.28,-39.27,73.49,86,32,8.12,BR,1592804102
São João da Barra,-21.64,-41.05,70.29,88,0,7.43,BR,1592803624
Tigzirt,36.89,4.12,73.9,52,0,7.2,DZ,1592804102
Zanjān,36.67,48.48,68.0,42,20,2.24,IR,1592804102
Albanel,48.88,-72.45,77.0,61,20,8.05,CA,1592804102
San Vito,8.82,-82.97,70.0,64,97,5.01,CR,1592804103
Viedma,-40.81,-63.0,47.95,52,86,11.1,AR,1592803639
Gangākher,18.95,76.75,89.51,54,80,12.97,IN,1592804103
Thunder Bay,48.4,-89.32,55.99,87,40,4.7,CA,1592803876
Ves'yegonsk,58.66,37.26,65.3,50,47,2.95,RU,1592804103
Kununurra,-15.77,128.73,84.2,19,0,10.29,AU,1592804103
Erdenet,49.03,104.08,63.48,67,74,7.38,MN,1592804103
Barra Patuca,15.8,-84.28,80.91,86,100,12.68,HN,1592804103
Gelibolu,40.41,26.67,68.0,77,56,5.82,TR,1592804103
Slave Lake,55.28,-114.77,60.8,77,1,5.82,CA,1592803994
Talnakh,69.49,88.4,64.4,36,26,17.9,RU,1592803622
Skjervøy,70.03,20.97,47.39,77,89,5.37,NO,1592804104
Maniitsoq,65.42,-52.9,44.94,66,78,6.62,GL,1592804104
Cidreira,-30.18,-50.21,67.6,87,53,7.63,BR,1592803626
Saint-Ambroise,48.55,-71.33,64.99,87,20,16.11,CA,1592804104
Christchurch,-43.53,172.63,48.99,87,29,6.93,NZ,1592804052
Hithadhoo,-0.6,73.08,84.43,66,97,7.7,MV,1592803629
Maumere,-8.62,122.21,82.78,66,60,4.68,ID,1592804104
Port Macquarie,-31.43,152.92,61.0,55,40,9.22,AU,1592803374
Dawson Creek,55.77,-120.24,59.0,47,1,8.05,CA,1592804105
Ulaangom,49.98,92.07,60.06,42,71,11.65,MN,1592804105
Areosa,41.72,-8.86,66.0,100,40,4.7,PT,1592804105
Gōtsuchō,35.0,132.22,77.0,78,20,4.7,JP,1592804105
Bassano,50.78,-112.47,61.0,79,84,6.93,CA,1592804105
Linden,6.0,-58.3,73.22,96,73,1.81,GY,1592804105
Jiazi,22.88,116.07,87.4,75,92,16.44,CN,1592804105
La Santisima Trinidad,-14.83,-64.9,74.39,73,13,3.76,BO,1592804106
Aasiaat,68.71,-52.87,37.69,78,43,5.64,GL,1592804106
Missoula,47.02,-113.8,60.8,51,1,5.82,US,1592804106
Akdepe,42.06,59.38,95.0,14,4,16.11,TM,1592804106
Dabola,10.75,-11.12,71.42,89,99,2.26,GN,1592804106
Burnie,-41.07,145.92,55.99,77,100,3.0,AU,1592803675
Taltal,-25.4,-70.48,56.1,73,2,0.63,CL,1592804106
San Jerónimo,-11.95,-75.28,44.71,77,89,2.28,PE,1592804106
Punto Fijo,11.7,-70.2,80.26,82,90,24.54,VE,1592804107
Hervey Bay,-25.3,152.85,73.0,45,6,5.01,AU,1592804107
Nānākuli,21.39,-158.15,80.6,57,20,4.7,US,1592804107
Vangaindrano,-23.35,47.6,71.13,78,25,3.36,MG,1592804107
Arrondissement du Havre,49.58,0.33,57.2,87,75,5.82,FR,1592804107
Katsuura,35.13,140.3,69.8,94,75,25.28,JP,1592804107
Atambua,-9.11,124.89,81.9,58,13,2.73,ID,1592804107
Kavaratti,10.57,72.64,86.0,79,90,6.93,IN,1592803621
Andenes,69.31,16.12,53.6,87,37,9.17,NO,1592804108
Torres,-29.34,-49.73,65.75,79,0,1.59,BR,1592804108
Polovinnoye,54.79,65.99,59.22,51,3,8.01,RU,1592804108
Kudahuvadhoo,2.67,72.89,84.02,72,100,9.75,MV,1592804108
Kütahya,39.42,29.98,60.8,82,40,4.7,TR,1592803837
Zaysan,47.47,84.87,69.6,23,12,7.65,KZ,1592804108
Warrington,53.39,-2.58,53.01,93,17,9.17,GB,1592804108
Saint-Joseph,-21.37,55.62,75.99,57,37,3.36,RE,1592803683
Pentecoste,-3.79,-39.27,75.0,82,0,1.99,BR,1592804108
Kulachi,31.93,70.46,110.82,14,0,9.48,PK,1592804109
Dunmore Town,25.5,-76.65,81.59,82,100,10.67,BS,1592804109
Alma,48.55,-71.65,77.0,61,20,8.05,CA,1592803901
Mangan,27.52,88.53,84.97,54,77,5.64,IN,1592804109
Kānth,29.07,78.63,103.8,26,0,2.64,IN,1592804109
Tiruttani,13.18,79.61,93.2,44,20,10.29,IN,1592804109
Boyolangu,-8.12,111.89,80.98,80,87,11.88,ID,1592804109
Natal,-5.79,-35.21,73.4,88,14,5.82,BR,1592804109
Newport,51.59,-3.0,53.01,96,20,9.64,GB,1592804110
Darhan,49.49,105.92,70.18,54,92,10.96,MN,1592804110
Kuybysheve,47.36,36.65,70.83,83,84,12.86,UA,1592804110
